\FIFO_E/FIFO_MEM_1_reg[0] :D FIFO_E/n140 [('FIFO_E/U298/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_3_reg[5] :D FIFO_E/n199 [('FIFO_E/U239/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_3_reg[5] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_3_reg[5] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_3_reg[5] :Q n540 [('FIFO_E/U239/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_3_reg[5] :QN FIFO_E/n359 [('FIFO_E/U346/A1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_3_reg[6] :D FIFO_E/n198 [('FIFO_E/U240/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_3_reg[6] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_3_reg[6] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_3_reg[6] :Q n541 [('FIFO_E/U240/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_3_reg[6] :QN FIFO_E/n358 [('FIFO_E/U344/A1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_3_reg[7] :D FIFO_E/n197 [('FIFO_E/U241/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_3_reg[7] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_3_reg[7] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_3_reg[7] :Q n542 [('FIFO_E/U241/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_3_reg[7] :QN FIFO_E/n357 [('FIFO_E/U342/A1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_3_reg[8] :D FIFO_E/n196 [('FIFO_E/U242/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_3_reg[8] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_3_reg[8] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_3_reg[8] :Q n543 [('FIFO_E/U242/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_3_reg[8] :QN FIFO_E/n356 [('FIFO_E/U340/A1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_3_reg[9] :D FIFO_E/n195 [('FIFO_E/U243/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_3_reg[9] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_3_reg[9] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_3_reg[9] :Q n544 [('FIFO_E/U243/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_3_reg[9] :QN FIFO_E/n355 [('FIFO_E/U338/A1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_4_reg[0] :D FIFO_E/n236 [('FIFO_E/U202/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_4_reg[0] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_4_reg[0] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_4_reg[0] :Q n375 [('FIFO_E/U202/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_4_reg[0] :QN FIFO_E/n396 [('FIFO_E/U401/A', 'Input Pin(OR2X6)')]
\FIFO_E/FIFO_MEM_4_reg[1] :D FIFO_E/n235 [('FIFO_E/U203/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_4_reg[1] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_4_reg[1] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_4_reg[1] :Q n376 [('FIFO_E/U203/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_4_reg[1] :QN FIFO_E/n395 [('FIFO_E/U379/A', 'Input Pin(OR2X6)')]
\FIFO_E/FIFO_MEM_4_reg[2] :D FIFO_E/n234 [('FIFO_E/U204/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_4_reg[2] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_4_reg[2] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_4_reg[2] :Q n377 [('FIFO_E/U204/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_4_reg[2] :QN FIFO_E/n394 [('FIFO_E/U357/A', 'Input Pin(OR2X6)')]
\FIFO_E/FIFO_MEM_4_reg[3] :D FIFO_E/n233 [('FIFO_E/U205/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_4_reg[3] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_4_reg[3] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_4_reg[3] :Q n378 [('FIFO_E/U205/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_4_reg[3] :QN FIFO_E/n393 [('FIFO_E/U351/A', 'Input Pin(OR2X6)')]
\FIFO_E/FIFO_MEM_4_reg[4] :D FIFO_E/n232 [('FIFO_E/U206/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_4_reg[4] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_4_reg[4] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_4_reg[4] :Q n379 [('FIFO_E/U206/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_4_reg[4] :QN FIFO_E/n392 [('FIFO_E/U349/A', 'Input Pin(OR2X6)')]
\FIFO_E/FIFO_MEM_4_reg[5] :D FIFO_E/n231 [('FIFO_E/U207/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_4_reg[5] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_4_reg[5] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_4_reg[5] :Q n380 [('FIFO_E/U207/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_4_reg[5] :QN FIFO_E/n391 [('FIFO_E/U347/A', 'Input Pin(OR2X6)')]
\FIFO_E/FIFO_MEM_4_reg[6] :D FIFO_E/n230 [('FIFO_E/U208/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_4_reg[6] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_4_reg[6] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_4_reg[6] :Q n381 [('FIFO_E/U208/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_4_reg[6] :QN FIFO_E/n390 [('FIFO_E/U345/A', 'Input Pin(OR2X6)')]
\FIFO_E/FIFO_MEM_4_reg[7] :D FIFO_E/n229 [('FIFO_E/U209/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_4_reg[7] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_4_reg[7] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_4_reg[7] :Q n382 [('FIFO_E/U209/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_4_reg[7] :QN FIFO_E/n389 [('FIFO_E/U343/A', 'Input Pin(OR2X6)')]
\FIFO_E/FIFO_MEM_4_reg[8] :D FIFO_E/n228 [('FIFO_E/U210/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_4_reg[8] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_4_reg[8] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_4_reg[8] :Q n383 [('FIFO_E/U210/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_4_reg[8] :QN FIFO_E/n388 [('FIFO_E/U341/A', 'Input Pin(OR2X6)')]
\FIFO_E/FIFO_MEM_4_reg[9] :D FIFO_E/n227 [('FIFO_E/U211/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_4_reg[9] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_4_reg[9] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_4_reg[9] :Q n384 [('FIFO_E/U211/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_4_reg[9] :QN FIFO_E/n387 [('FIFO_E/U339/A', 'Input Pin(OR2X6)')]
\FIFO_E/FIFO_MEM_4_reg[10] :D FIFO_E/n226 [('FIFO_E/U212/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_4_reg[10] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_4_reg[10] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_4_reg[10] :Q n385 [('FIFO_E/U212/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_4_reg[10] :QN FIFO_E/n386 [('FIFO_E/U399/A', 'Input Pin(OR2X6)')]
\FIFO_E/FIFO_MEM_4_reg[11] :D FIFO_E/n225 [('FIFO_E/U213/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_4_reg[11] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_4_reg[11] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_4_reg[11] :Q n386 [('FIFO_E/U213/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_4_reg[11] :QN FIFO_E/n385 [('FIFO_E/U397/A', 'Input Pin(OR2X6)')]
\FIFO_E/FIFO_MEM_4_reg[12] :D FIFO_E/n224 [('FIFO_E/U214/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_4_reg[12] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_4_reg[12] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_4_reg[12] :Q n387 [('FIFO_E/U214/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_4_reg[12] :QN FIFO_E/n384 [('FIFO_E/U395/A', 'Input Pin(OR2X6)')]
\FIFO_E/FIFO_MEM_4_reg[15] :D FIFO_E/n221 [('FIFO_E/U217/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_4_reg[15] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_4_reg[15] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_4_reg[15] :Q n390 [('FIFO_E/U217/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_4_reg[15] :QN FIFO_E/n381 [('FIFO_E/U389/A', 'Input Pin(OR2X6)')]
\FIFO_E/FIFO_MEM_4_reg[17] :D FIFO_E/n219 [('FIFO_E/U219/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_4_reg[17] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_4_reg[17] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_4_reg[17] :Q n392 [('FIFO_E/U219/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_4_reg[17] :QN FIFO_E/n379 [('FIFO_E/U385/A', 'Input Pin(OR2X6)')]
\FIFO_E/FIFO_MEM_4_reg[18] :D FIFO_E/n218 [('FIFO_E/U220/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_4_reg[18] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_4_reg[18] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_4_reg[18] :Q n393 [('FIFO_E/U220/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_4_reg[18] :QN FIFO_E/n378 [('FIFO_E/U383/A', 'Input Pin(OR2X6)')]
\FIFO_E/FIFO_MEM_4_reg[19] :D FIFO_E/n217 [('FIFO_E/U221/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_4_reg[19] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_4_reg[19] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_4_reg[19] :Q n394 [('FIFO_E/U221/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_4_reg[19] :QN FIFO_E/n377 [('FIFO_E/U381/A', 'Input Pin(OR2X6)')]
\FIFO_E/U57 :A FIFO_E/n397 [('U661/Q', 'Output Pin(OA31X4)')]
\FIFO_E/U57 :Q FIFO_E/n5 [('U604/C', 'Input Pin(NOR3X6)'), ('U603/C', 'Input Pin(NOR3X6)'), ('FIFO_E/U193/A2', 'Input Pin(AO22X6)'), ('FIFO_E/U194/A2', 'Input Pin(AO22X6)'), ('FIFO_E/U195/A2', 'Input Pin(AO22X6)'), ('FIFO_E/U196/A2', 'Input Pin(AO22X6)')]
\FIFO_E/U58 :A FIFO_E/read_en [('U103/Q', 'Output Pin(OA31X4)')]
\FIFO_E/U58 :Q FIFO_E/n6 [('FIFO_E/U197/B2', 'Input Pin(AO22X6)'), ('FIFO_E/U198/B2', 'Input Pin(AO22X6)'), ('FIFO_E/U199/B2', 'Input Pin(AO22X6)'), ('FIFO_E/U200/B2', 'Input Pin(AO22X6)')]
\FIFO_E/U60 :A FIFO_E/n399 [('U371/Q', 'Output Pin(NAND3X3)')]
\FIFO_E/U60 :Q empty_E [('U82/A', 'Input Pin(NOR3X6)')]
\FIFO_E/U200 :A1 FIFO_E/read_en [('U103/Q', 'Output Pin(OA31X4)')]
\FIFO_E/U200 :A2 FIFO_E/read_pointer[3] [('FIFO_E/read_pointer_reg[3]/Q', 'Output Pin(DFCX4)')]
\FIFO_E/U200 :B1 FIFO_E/read_pointer[0] [('FIFO_E/read_pointer_reg[0]/Q', 'Output Pin(DFPX4)')]
\FIFO_E/U200 :B2 FIFO_E/n6 [('FIFO_E/U58/Q', 'Output Pin(CLKINVX10)')]
\FIFO_E/U200 :Q FIFO_E/read_pointer_in[0] [('FIFO_E/read_pointer_reg[0]/D', 'Input Pin(DFPX4)')]
\FIFO_E/U201 :A Xbar_sel_W[3] [('allocator_unit/U49/Q', 'Output Pin(AND2X6)')]
\FIFO_E/U201 :B Xbar_sel_S[3] [('allocator_unit/U58/Q', 'Output Pin(AND2X6)')]
\FIFO_E/U201 :Q FIFO_E/n398 [('U103/A1', 'Input Pin(OA31X4)')]
\FIFO_E/U202 :A1 RX_E[0] [('RX_E[0]', 'Input Port')]
\FIFO_E/U202 :A2 n772 [('U71/Q', 'Output Pin(CLKINVX10)')]
\FIFO_E/U202 :B1 FIFO_E/n400 [('U585/Q', 'Output Pin(NAND3X3)')]
\FIFO_E/U202 :B2 n375 [('FIFO_E/FIFO_MEM_4_reg[0]/Q', 'Output Pin(DFCX4)')]
\FIFO_E/U202 :Q FIFO_E/n236 [('FIFO_E/FIFO_MEM_4_reg[0]/D', 'Input Pin(DFCX4)')]
\FIFO_E/U203 :A1 RX_E[1] [('RX_E[1]', 'Input Port')]
\FIFO_E/U203 :A2 n772 [('U71/Q', 'Output Pin(CLKINVX10)')]
\FIFO_E/U203 :B1 FIFO_E/n400 [('U585/Q', 'Output Pin(NAND3X3)')]
\FIFO_E/U203 :B2 n376 [('FIFO_E/FIFO_MEM_4_reg[1]/Q', 'Output Pin(DFCX4)')]
\FIFO_E/U203 :Q FIFO_E/n235 [('FIFO_E/FIFO_MEM_4_reg[1]/D', 'Input Pin(DFCX4)')]
\FIFO_E/U204 :A1 RX_E[2] [('RX_E[2]', 'Input Port')]
\FIFO_E/U204 :A2 n772 [('U71/Q', 'Output Pin(CLKINVX10)')]
\FIFO_E/U204 :B1 FIFO_E/n400 [('U585/Q', 'Output Pin(NAND3X3)')]
\FIFO_E/U204 :B2 n377 [('FIFO_E/FIFO_MEM_4_reg[2]/Q', 'Output Pin(DFCX4)')]
\FIFO_E/U204 :Q FIFO_E/n234 [('FIFO_E/FIFO_MEM_4_reg[2]/D', 'Input Pin(DFCX4)')]
\FIFO_E/U205 :A1 RX_E[3] [('RX_E[3]', 'Input Port')]
\FIFO_E/U205 :A2 n772 [('U71/Q', 'Output Pin(CLKINVX10)')]
\FIFO_E/U205 :B1 FIFO_E/n400 [('U585/Q', 'Output Pin(NAND3X3)')]
\FIFO_E/U205 :B2 n378 [('FIFO_E/FIFO_MEM_4_reg[3]/Q', 'Output Pin(DFCX4)')]
\FIFO_E/U205 :Q FIFO_E/n233 [('FIFO_E/FIFO_MEM_4_reg[3]/D', 'Input Pin(DFCX4)')]
\FIFO_E/U206 :A1 RX_E[4] [('RX_E[4]', 'Input Port')]
\FIFO_E/U206 :A2 n772 [('U71/Q', 'Output Pin(CLKINVX10)')]
\FIFO_E/U206 :B1 FIFO_E/n400 [('U585/Q', 'Output Pin(NAND3X3)')]
\FIFO_E/U206 :B2 n379 [('FIFO_E/FIFO_MEM_4_reg[4]/Q', 'Output Pin(DFCX4)')]
\FIFO_E/U206 :Q FIFO_E/n232 [('FIFO_E/FIFO_MEM_4_reg[4]/D', 'Input Pin(DFCX4)')]
\FIFO_E/U207 :A1 RX_E[5] [('RX_E[5]', 'Input Port')]
\FIFO_E/U207 :A2 n772 [('U71/Q', 'Output Pin(CLKINVX10)')]
\FIFO_E/U207 :B1 FIFO_E/n400 [('U585/Q', 'Output Pin(NAND3X3)')]
\FIFO_E/U207 :B2 n380 [('FIFO_E/FIFO_MEM_4_reg[5]/Q', 'Output Pin(DFCX4)')]
\FIFO_E/U207 :Q FIFO_E/n231 [('FIFO_E/FIFO_MEM_4_reg[5]/D', 'Input Pin(DFCX4)')]
\FIFO_E/U208 :A1 RX_E[6] [('RX_E[6]', 'Input Port')]
\FIFO_E/U208 :A2 n772 [('U71/Q', 'Output Pin(CLKINVX10)')]
\FIFO_E/U208 :B1 FIFO_E/n400 [('U585/Q', 'Output Pin(NAND3X3)')]
\FIFO_E/U208 :B2 n381 [('FIFO_E/FIFO_MEM_4_reg[6]/Q', 'Output Pin(DFCX4)')]
\FIFO_E/U208 :Q FIFO_E/n230 [('FIFO_E/FIFO_MEM_4_reg[6]/D', 'Input Pin(DFCX4)')]
\FIFO_E/U209 :A1 RX_E[7] [('RX_E[7]', 'Input Port')]
\FIFO_E/U209 :A2 n772 [('U71/Q', 'Output Pin(CLKINVX10)')]
\FIFO_E/U209 :B1 FIFO_E/n400 [('U585/Q', 'Output Pin(NAND3X3)')]
\FIFO_E/U209 :B2 n382 [('FIFO_E/FIFO_MEM_4_reg[7]/Q', 'Output Pin(DFCX4)')]
\FIFO_E/U209 :Q FIFO_E/n229 [('FIFO_E/FIFO_MEM_4_reg[7]/D', 'Input Pin(DFCX4)')]
\FIFO_E/U210 :A1 RX_E[8] [('RX_E[8]', 'Input Port')]
\FIFO_E/U210 :A2 n772 [('U71/Q', 'Output Pin(CLKINVX10)')]
\FIFO_E/U210 :B1 FIFO_E/n400 [('U585/Q', 'Output Pin(NAND3X3)')]
\FIFO_E/U210 :B2 n383 [('FIFO_E/FIFO_MEM_4_reg[8]/Q', 'Output Pin(DFCX4)')]
\FIFO_E/U210 :Q FIFO_E/n228 [('FIFO_E/FIFO_MEM_4_reg[8]/D', 'Input Pin(DFCX4)')]
\FIFO_E/U211 :A1 RX_E[9] [('RX_E[9]', 'Input Port')]
\FIFO_E/U211 :A2 n772 [('U71/Q', 'Output Pin(CLKINVX10)')]
\FIFO_E/U211 :B1 FIFO_E/n400 [('U585/Q', 'Output Pin(NAND3X3)')]
\FIFO_E/U211 :B2 n384 [('FIFO_E/FIFO_MEM_4_reg[9]/Q', 'Output Pin(DFCX4)')]
\FIFO_E/U211 :Q FIFO_E/n227 [('FIFO_E/FIFO_MEM_4_reg[9]/D', 'Input Pin(DFCX4)')]
\FIFO_E/U212 :A1 RX_E[10] [('RX_E[10]', 'Input Port')]
\FIFO_E/U212 :A2 n772 [('U71/Q', 'Output Pin(CLKINVX10)')]
\FIFO_E/U212 :B1 FIFO_E/n400 [('U585/Q', 'Output Pin(NAND3X3)')]
\FIFO_E/U212 :B2 n385 [('FIFO_E/FIFO_MEM_4_reg[10]/Q', 'Output Pin(DFCX4)')]
\FIFO_E/U212 :Q FIFO_E/n226 [('FIFO_E/FIFO_MEM_4_reg[10]/D', 'Input Pin(DFCX4)')]
\FIFO_E/U213 :A1 RX_E[11] [('RX_E[11]', 'Input Port')]
\FIFO_E/U213 :A2 n772 [('U71/Q', 'Output Pin(CLKINVX10)')]
\FIFO_E/U213 :B1 FIFO_E/n400 [('U585/Q', 'Output Pin(NAND3X3)')]
\FIFO_E/U213 :B2 n386 [('FIFO_E/FIFO_MEM_4_reg[11]/Q', 'Output Pin(DFCX4)')]
\FIFO_E/U213 :Q FIFO_E/n225 [('FIFO_E/FIFO_MEM_4_reg[11]/D', 'Input Pin(DFCX4)')]
\FIFO_E/U214 :A1 RX_E[12] [('RX_E[12]', 'Input Port')]
\FIFO_E/U214 :A2 n772 [('U71/Q', 'Output Pin(CLKINVX10)')]
\FIFO_E/U214 :B1 FIFO_E/n400 [('U585/Q', 'Output Pin(NAND3X3)')]
\FIFO_E/U214 :B2 n387 [('FIFO_E/FIFO_MEM_4_reg[12]/Q', 'Output Pin(DFCX4)')]
\FIFO_E/U214 :Q FIFO_E/n224 [('FIFO_E/FIFO_MEM_4_reg[12]/D', 'Input Pin(DFCX4)')]
\FIFO_E/U215 :A1 RX_E[13] [('RX_E[13]', 'Input Port')]
\FIFO_E/U215 :A2 n772 [('U71/Q', 'Output Pin(CLKINVX10)')]
\FIFO_E/U215 :B1 FIFO_E/n400 [('U585/Q', 'Output Pin(NAND3X3)')]
\FIFO_E/U215 :B2 n388 [('FIFO_E/FIFO_MEM_4_reg[13]/Q', 'Output Pin(DFCX4)')]
\FIFO_E/U215 :Q FIFO_E/n223 [('FIFO_E/FIFO_MEM_4_reg[13]/D', 'Input Pin(DFCX4)')]
\FIFO_E/U216 :A1 RX_E[14] [('RX_E[14]', 'Input Port')]
\FIFO_E/U216 :A2 n772 [('U71/Q', 'Output Pin(CLKINVX10)')]
\FIFO_E/U216 :B1 FIFO_E/n400 [('U585/Q', 'Output Pin(NAND3X3)')]
\FIFO_E/U216 :B2 n389 [('FIFO_E/FIFO_MEM_4_reg[14]/Q', 'Output Pin(DFCX4)')]
\FIFO_E/U216 :Q FIFO_E/n222 [('FIFO_E/FIFO_MEM_4_reg[14]/D', 'Input Pin(DFCX4)')]
\FIFO_E/U217 :A1 RX_E[15] [('RX_E[15]', 'Input Port')]
\FIFO_E/U217 :A2 n772 [('U71/Q', 'Output Pin(CLKINVX10)')]
\FIFO_E/U217 :B1 FIFO_E/n400 [('U585/Q', 'Output Pin(NAND3X3)')]
\FIFO_E/U217 :B2 n390 [('FIFO_E/FIFO_MEM_4_reg[15]/Q', 'Output Pin(DFCX4)')]
\FIFO_E/U217 :Q FIFO_E/n221 [('FIFO_E/FIFO_MEM_4_reg[15]/D', 'Input Pin(DFCX4)')]
\FIFO_E/U218 :A1 RX_E[16] [('RX_E[16]', 'Input Port')]
\FIFO_E/U218 :A2 n772 [('U71/Q', 'Output Pin(CLKINVX10)')]
\FIFO_E/U218 :B1 FIFO_E/n400 [('U585/Q', 'Output Pin(NAND3X3)')]
\FIFO_E/U218 :B2 n391 [('FIFO_E/FIFO_MEM_4_reg[16]/Q', 'Output Pin(DFCX4)')]
\FIFO_E/U218 :Q FIFO_E/n220 [('FIFO_E/FIFO_MEM_4_reg[16]/D', 'Input Pin(DFCX4)')]
\FIFO_E/U219 :A1 RX_E[17] [('RX_E[17]', 'Input Port')]
\FIFO_E/U219 :A2 n772 [('U71/Q', 'Output Pin(CLKINVX10)')]
\FIFO_E/U219 :B1 FIFO_E/n400 [('U585/Q', 'Output Pin(NAND3X3)')]
\FIFO_E/U219 :B2 n392 [('FIFO_E/FIFO_MEM_4_reg[17]/Q', 'Output Pin(DFCX4)')]
\FIFO_E/U219 :Q FIFO_E/n219 [('FIFO_E/FIFO_MEM_4_reg[17]/D', 'Input Pin(DFCX4)')]
\FIFO_E/U220 :A1 RX_E[18] [('RX_E[18]', 'Input Port')]
\FIFO_E/U220 :A2 n772 [('U71/Q', 'Output Pin(CLKINVX10)')]
\FIFO_E/U220 :B1 FIFO_E/n400 [('U585/Q', 'Output Pin(NAND3X3)')]
\FIFO_E/U220 :B2 n393 [('FIFO_E/FIFO_MEM_4_reg[18]/Q', 'Output Pin(DFCX4)')]
\FIFO_E/U220 :Q FIFO_E/n218 [('FIFO_E/FIFO_MEM_4_reg[18]/D', 'Input Pin(DFCX4)')]
\FIFO_E/U221 :A1 RX_E[19] [('RX_E[19]', 'Input Port')]
\FIFO_E/U221 :A2 n772 [('U71/Q', 'Output Pin(CLKINVX10)')]
\FIFO_E/U221 :B1 FIFO_E/n400 [('U585/Q', 'Output Pin(NAND3X3)')]
\FIFO_E/U221 :B2 n394 [('FIFO_E/FIFO_MEM_4_reg[19]/Q', 'Output Pin(DFCX4)')]
\FIFO_E/U221 :Q FIFO_E/n217 [('FIFO_E/FIFO_MEM_4_reg[19]/D', 'Input Pin(DFCX4)')]
\FIFO_E/U222 :A1 RX_E[20] [('RX_E[20]', 'Input Port')]
\FIFO_E/U222 :A2 n772 [('U71/Q', 'Output Pin(CLKINVX10)')]
\FIFO_E/U222 :B1 FIFO_E/n400 [('U585/Q', 'Output Pin(NAND3X3)')]
\FIFO_E/U222 :B2 n395 [('FIFO_E/FIFO_MEM_4_reg[20]/Q', 'Output Pin(DFCX4)')]
\FIFO_E/U222 :Q FIFO_E/n216 [('FIFO_E/FIFO_MEM_4_reg[20]/D', 'Input Pin(DFCX4)')]
\FIFO_E/U223 :A1 RX_E[21] [('RX_E[21]', 'Input Port')]
\FIFO_E/U223 :A2 n772 [('U71/Q', 'Output Pin(CLKINVX10)')]
\FIFO_E/U223 :B1 FIFO_E/n400 [('U585/Q', 'Output Pin(NAND3X3)')]
\FIFO_E/U223 :B2 n396 [('FIFO_E/FIFO_MEM_4_reg[21]/Q', 'Output Pin(DFCX4)')]
\FIFO_E/U223 :Q FIFO_E/n215 [('FIFO_E/FIFO_MEM_4_reg[21]/D', 'Input Pin(DFCX4)')]
\FIFO_E/U224 :A1 RX_E[22] [('RX_E[22]', 'Input Port')]
\FIFO_E/U224 :A2 n772 [('U71/Q', 'Output Pin(CLKINVX10)')]
\FIFO_E/U224 :B1 FIFO_E/n400 [('U585/Q', 'Output Pin(NAND3X3)')]
\FIFO_E/U224 :B2 n397 [('FIFO_E/FIFO_MEM_4_reg[22]/Q', 'Output Pin(DFCX4)')]
\FIFO_E/U224 :Q FIFO_E/n214 [('FIFO_E/FIFO_MEM_4_reg[22]/D', 'Input Pin(DFCX4)')]
\FIFO_E/U225 :A1 RX_E[23] [('RX_E[23]', 'Input Port')]
\FIFO_E/U225 :A2 n772 [('U71/Q', 'Output Pin(CLKINVX10)')]
\FIFO_E/U225 :B1 FIFO_E/n400 [('U585/Q', 'Output Pin(NAND3X3)')]
\FIFO_E/U225 :B2 n398 [('FIFO_E/FIFO_MEM_4_reg[23]/Q', 'Output Pin(DFCX4)')]
\FIFO_E/U225 :Q FIFO_E/n213 [('FIFO_E/FIFO_MEM_4_reg[23]/D', 'Input Pin(DFCX4)')]
\FIFO_E/U226 :A1 RX_E[24] [('RX_E[24]', 'Input Port')]
\FIFO_E/U226 :A2 n772 [('U71/Q', 'Output Pin(CLKINVX10)')]
\FIFO_E/U226 :B1 FIFO_E/n400 [('U585/Q', 'Output Pin(NAND3X3)')]
